Port,Name,Status,Vlan,Duplex,Speed,Type
Gi1/0/15, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/16, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/17, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/18, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/19, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/20, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/21, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/22, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/23, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/24, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/25, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/26, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/27, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/28, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/29, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/30, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/31, ,connected,1,a-full,a-10,10/100/1000BaseTX
Gi1/0/32, ,disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/33, ,disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/34, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/35, ,disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/36, ,disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/37, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/38, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/39, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/40, ,disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/41, ,connected,1,a-full,a-1000,10/100/1000BaseTX
